date,termination,corrigenda,movement,employmentopp,engagement,promotion,cancellation,special
2007-08-09,10,7,114,449,416,412,34,0
2007-08-16,35,1,110,444,464,301,9,0
2007-08-23,11,2,116,421,690,447,13,0
2007-08-30,8,1,91,444,431,364,20,0
2007-09-06,9,5,129,384,524,379,17,0
2007-09-13,16,8,109,427,317,293,7,0
2007-09-20,5,2,116,400,363,467,11,0
2007-09-27,19,5,133,385,388,328,48,0
2007-10-04,17,5,148,380,370,387,21,0
2007-10-11,14,1,98,335,267,293,29,0
2007-10-18,16,50,141,394,316,366,34,0
2007-10-25,9,4,79,406,378,513,15,0
2007-11-01,10,2,103,400,436,340,12,0
2007-11-08,7,16,72,375,250,366,31,0
2007-11-15,10,3,68,330,265,283,7,0
2007-11-22,7,1,124,390,336,356,17,0
2007-11-29,12,5,86,364,491,312,7,0
2007-12-06,12,5,128,297,426,337,5,0
2007-12-13,11,3,122,247,272,414,7,1
2007-12-20,9,2,123,196,273,501,13,0
2008-01-10,22,5,165,321,614,747,20,0
2008-01-17,15,1,174,293,317,466,13,0
2008-01-24,25,2,89,325,397,426,14,0
2008-01-31,15,11,71,371,443,328,17,0
2008-02-07,8,2,73,273,266,226,14,0
2008-02-14,15,1,55,316,467,328,28,0
2008-02-21,11,2,46,316,486,191,23,0
2008-02-28,8,5,48,319,587,197,11,0
2008-03-06,13,4,46,328,267,288,4,0
2008-03-13,9,2,45,350,163,184,7,0
2008-03-20,14,3,51,240,155,196,6,0
2008-03-27,11,1,46,225,541,118,3,0
2008-04-03,14,1,62,225,319,284,11,0
2008-04-10,25,3,43,252,173,216,7,0
2008-04-17,12,4,59,325,149,229,11,0
2008-04-24,18,1,49,275,179,226,6,0
2008-05-01,13,3,45,290,167,192,4,0
2008-05-08,24,1,55,243,229,192,7,0
2008-05-15,17,5,66,294,225,204,3,0
2008-05-22,11,1,70,278,189,234,10,0
2008-05-29,31,4,60,300,245,262,9,0
2008-06-05,35,3,78,283,186,208,6,0
2008-06-12,19,2,41,232,152,153,6,0
2008-06-19,42,0,62,279,211,222,9,0
2008-06-26,28,3,71,301,343,189,6,0
2008-07-03,63,3,64,227,304,244,4,0
2008-07-10,80,1,81,286,215,223,8,0
2008-07-17,104,3,65,296,163,175,6,0
2008-07-24,96,0,74,258,262,188,3,0
2008-07-31,81,4,58,292,234,189,3,0
2008-08-07,33,0,109,300,200,167,5,0
2008-08-14,46,2,49,351,298,270,10,0
2008-08-21,22,2,99,270,368,221,7,0
2008-08-28,24,3,57,315,210,230,5,0
2008-09-04,25,2,60,300,282,180,7,0
2008-09-11,60,3,81,291,233,258,7,0
2008-09-18,24,2,115,330,206,329,8,0
2008-09-25,20,6,73,278,163,271,7,0
2008-10-02,15,3,71,300,243,226,6,0
2008-10-09,18,3,58,336,183,166,6,0
2008-10-16,23,3,76,320,214,391,3,0
2008-10-23,27,1,86,318,256,271,10,0
2008-10-30,15,0,63,345,228,286,4,0
2008-11-06,10,3,62,351,151,292,11,0
2008-11-13,39,3,89,248,222,248,8,0
2008-11-20,9,37,51,302,268,252,8,0
2008-11-27,10,5,65,349,188,252,7,0
2008-12-04,46,2,70,265,249,249,7,0
2008-12-11,14,0,86,243,217,369,8,1
2008-12-18,17,6,92,247,283,372,4,1
2009-01-08,15,6,155,286,428,517,10,0
2009-01-15,12,3,120,247,356,412,7,0
2009-01-22,4,1,73,288,358,298,25,0
2009-01-29,6,2,64,224,239,163,3,0
2009-02-05,7,7,72,229,432,147,4,0
2009-02-12,11,7,57,216,306,134,6,0
2009-02-19,29,1,56,221,445,163,6,0
2009-02-26,12,3,52,258,400,170,9,0
2009-03-05,9,4,48,254,609,138,2,0
2009-03-12,2,0,35,216,204,119,3,0
2009-03-19,9,3,37,237,227,191,3,0
2009-03-26,11,1,49,171,308,169,7,0
2009-04-02,30,1,39,196,246,138,8,0
2009-04-09,23,2,49,148,209,197,4,0
2009-04-16,7,1,35,156,134,129,1,0
2009-04-23,10,4,54,198,411,150,13,0
2009-04-30,7,1,42,201,216,144,3,0
2009-05-07,15,3,27,167,194,115,5,0
2009-05-14,14,2,53,194,182,173,3,0
2009-05-21,10,1,43,189,182,121,5,0
2009-05-28,40,1,31,242,235,152,3,0
2009-06-04,95,1,40,217,191,155,3,0
2009-06-11,12,1,27,193,197,142,0,0
2009-06-18,5,2,35,180,158,168,2,0
2009-06-25,106,1,64,182,194,216,3,0
2009-07-02,30,1,57,193,220,169,5,0
2009-07-09,75,0,63,204,220,113,0,0
2009-07-16,58,4,51,271,359,179,4,0
2009-07-23,52,4,24,260,176,163,4,0
2009-07-30,48,0,27,206,387,129,3,0
2009-08-06,58,3,43,205,234,147,4,0
2009-08-13,45,2,31,299,200,139,2,0
2009-08-20,50,2,60,258,180,129,6,0
2009-08-27,35,1,31,246,191,170,7,0
2009-09-03,30,1,27,265,193,130,6,0
2009-09-10,52,1,47,208,248,199,5,0
2009-09-17,167,1,60,294,147,200,1,0
2009-09-24,18,3,61,249,187,183,2,0
2009-10-01,23,2,45,256,182,214,5,0
2009-10-08,18,1,53,253,226,192,10,0
2009-10-15,59,0,33,275,187,173,5,0
2009-10-22,27,3,35,309,180,170,6,1
2009-10-29,22,4,49,281,174,216,6,0
2009-11-05,24,0,40,299,235,179,2,0
2009-11-12,9,3,50,283,150,171,4,0
2009-11-19,13,0,56,264,177,247,8,0
2009-11-26,18,3,53,322,152,233,11,0
2009-12-03,7,0,42,250,239,276,11,0
2009-12-10,23,4,69,264,307,240,4,1
2009-12-17,17,6,56,204,214,272,6,1
2010-01-07,30,6,96,175,323,477,4,0
2010-01-14,8,6,69,302,246,255,6,0
2010-01-21,13,4,69,273,287,174,3,0
2010-01-28,15,5,50,231,235,132,5,0
2010-02-04,5,2,49,228,448,152,3,0
2010-02-11,22,1,41,280,211,197,5,0
2010-02-18,13,2,49,260,532,154,8,0
2010-02-25,20,3,38,310,203,170,4,0
2010-03-04,13,4,62,264,251,186,4,0
2010-03-11,12,0,37,272,182,166,5,0
2010-03-18,17,1,63,276,187,229,4,0
2010-03-25,2,6,54,284,163,159,2,0
2010-04-01,18,14,76,274,205,190,10,0
2010-04-08,10,1,47,193,179,94,2,0
2010-04-15,4,2,62,290,148,210,2,0
2010-04-22,11,6,52,246,209,186,4,0
2010-04-29,39,2,49,248,167,182,7,0
2010-05-06,11,2,40,245,153,181,5,0
2010-05-13,13,2,43,320,166,286,2,0
2010-05-20,27,2,67,323,195,180,3,0
2010-05-27,27,3,46,268,175,211,5,0
2010-06-03,35,2,35,302,208,201,2,0
2010-06-10,43,3,47,304,245,193,1,0
2010-06-17,14,1,40,333,151,193,5,0
2010-06-24,36,0,52,254,127,190,3,0
2010-07-01,36,1,44,290,193,212,2,2
2010-07-08,135,4,55,312,280,257,6,1
2010-07-15,114,1,57,346,209,304,4,1
2010-07-22,22,1,70,303,212,532,7,1
2010-07-29,102,9,49,288,337,264,8,1
2010-08-05,114,7,52,225,219,186,3,0
2010-08-12,33,5,67,274,197,342,4,1
2010-08-19,39,0,80,310,206,206,4,2
2010-08-26,48,7,63,326,221,217,7,1
2010-09-02,18,4,46,260,273,272,3,1
2010-09-09,20,0,61,276,230,225,4,1
2010-09-16,21,9,41,359,176,263,6,0
2010-09-23,18,1,42,341,271,241,3,0
2010-09-30,20,3,55,372,324,280,2,1
2010-10-07,17,6,37,278,197,183,4,0
2010-10-14,61,0,47,290,208,173,2,0
2010-10-21,8,1,40,309,229,327,5,0
2010-10-28,23,0,46,448,215,193,2,0
2010-11-04,25,1,47,328,186,277,3,1
2010-11-11,32,2,75,324,177,220,4,1
2010-11-18,11,1,71,346,190,284,3,1
2010-11-25,30,2,58,360,206,353,8,0
2010-12-02,15,3,52,309,261,396,15,1
2010-12-09,32,2,53,311,216,326,8,2
2010-12-16,31,3,78,312,481,346,6,2
2011-01-06,37,0,132,180,420,667,13,1
2011-01-13,17,3,67,273,206,352,8,1
2011-01-20,42,5,115,361,255,258,6,1
2011-01-27,15,4,87,354,444,257,6,1
2011-02-03,45,1,54,317,358,202,9,1
2011-02-10,19,3,58,258,278,174,4,1
2011-02-17,14,3,50,350,219,180,8,0
2011-02-24,11,4,52,324,385,395,5,2
2011-03-03,15,5,38,277,624,185,5,1
2011-03-10,42,1,51,269,296,307,3,0
2011-03-17,4,0,44,259,136,272,2,0
2011-03-24,14,3,48,237,218,228,9,0
2011-03-31,5,1,60,314,308,245,5,2
2011-04-07,32,1,62,277,184,312,9,1
2011-04-14,10,2,67,298,165,215,7,1
2011-04-21,64,1,67,268,257,248,6,1
2011-04-28,13,1,38,244,214,152,4,0
2011-05-05,18,1,42,256,237,150,5,1
2011-05-12,24,6,46,334,270,276,9,1
2011-05-19,19,0,50,329,318,184,6,0
2011-05-26,12,8,42,353,180,204,2,1
2011-06-02,35,0,43,312,183,211,4,1
2011-06-09,13,5,64,317,208,233,1,0
2011-06-16,12,2,41,265,286,275,5,1
2011-06-23,34,4,45,317,253,218,7,1
2011-06-30,13,6,50,232,232,214,12,0
2011-07-07,76,2,81,308,246,310,6,1
2011-07-14,64,5,51,267,173,235,8,0
2011-07-21,13,3,54,336,205,291,11,0
2011-07-28,27,3,64,339,209,227,3,1
2011-08-04,24,4,51,323,252,191,7,1
2011-08-11,14,1,51,280,181,240,6,1
2011-08-18,17,2,46,313,253,214,5,0
2011-08-25,13,2,43,374,235,270,4,0
2011-09-01,38,0,55,344,273,323,4,0
2011-09-08,9,2,53,294,232,360,3,0
2011-09-15,97,5,42,316,184,189,6,0
2011-09-22,26,4,71,385,260,205,9,0
2011-09-29,44,1,72,358,209,212,7,0
2011-10-06,22,4,57,324,314,419,1,0
2011-10-13,18,5,73,302,226,346,6,0
2011-10-20,40,2,66,293,214,263,8,0
2011-10-27,26,4,62,345,238,288,14,1
2011-11-03,28,3,65,347,234,273,2,1
2011-11-10,19,0,48,356,215,178,5,1
2011-11-17,26,3,63,313,404,257,11,1
2011-11-24,27,1,56,348,246,331,6,1
2011-12-01,22,8,60,283,355,341,2,1
2011-12-08,17,8,51,317,238,275,8,2
2011-12-15,12,6,77,381,375,313,6,2
2012-01-05,78,6,106,131,437,637,25,1
2012-01-12,17,2,71,265,245,169,3,1
2012-01-19,8,7,61,262,379,333,7,1
2012-01-26,13,3,51,237,365,249,13,1
2012-02-02,17,2,38,220,270,159,7,1
2012-02-09,18,3,42,238,354,174,8,1
2012-02-16,14,3,58,268,505,206,8,1
2012-02-23,18,4,41,273,174,227,4,1
2012-03-01,9,7,50,253,449,168,2,1
2012-03-08,9,4,64,259,241,237,4,1
2012-03-15,10,2,26,276,179,190,8,1
2012-03-22,11,2,37,213,151,169,1,1
2012-03-29,3,2,36,251,129,202,10,0
2012-04-05,46,3,50,216,255,227,7,1
2012-04-12,15,7,38,199,141,155,6,0
2012-04-19,20,3,42,208,156,194,4,1
2012-04-26,14,3,40,224,224,219,7,1
2012-05-03,26,6,30,190,127,130,1,1
2012-05-10,35,4,54,185,210,223,5,1
2012-05-17,54,3,53,183,176,113,5,1
2012-05-24,48,2,35,141,168,165,4,1
2012-05-31,46,4,31,166,196,166,5,1
2012-06-07,75,1,35,151,260,154,7,1
2012-06-14,45,7,34,153,219,131,4,1
2012-06-21,147,2,20,168,119,159,5,1
2012-06-28,75,4,35,132,149,123,4,1
2012-07-05,39,7,25,127,110,110,6,1
2012-07-12,159,6,36,145,211,179,1,0
2012-07-19,99,6,28,194,193,165,4,1
2012-07-26,166,2,28,201,122,138,1,1
2012-08-02,98,29,23,164,202,124,5,0
2012-08-09,99,1,27,160,221,139,2,0
2012-08-16,219,1,31,158,153,140,2,0
2012-08-23,73,6,29,185,136,105,0,0
2012-08-30,108,1,29,179,182,124,2,0
2012-09-06,136,3,23,179,175,83,2,0
2012-09-13,74,7,28,199,165,132,7,0
2012-09-20,56,0,22,212,184,122,4,0
2012-09-27,77,0,24,177,125,96,4,0
2012-10-04,61,3,25,168,142,82,1,0
2012-10-11,18,5,29,119,125,173,2,0
2012-10-18,24,7,27,137,197,134,2,0
2012-10-25,40,2,19,159,136,107,2,0
2012-11-01,30,2,16,161,158,120,3,0
2012-11-08,38,1,21,174,130,129,4,1
2012-11-15,22,1,26,168,167,143,8,0
2012-11-22,314,4,19,151,142,119,4,0
2012-11-29,520,9,36,134,164,124,4,0
2012-12-06,135,8,24,118,128,128,2,0
2012-12-13,543,32,25,85,130,185,14,0
2012-12-20,529,54,42,106,147,330,10,0
2013-01-10,35,28,66,139,600,243,7,0
2013-01-17,10,19,31,150,293,137,7,0
2013-01-24,9,33,32,200,281,129,6,0
2013-01-31,17,7,25,120,271,78,13,0
2013-02-07,36,16,22,186,298,97,11,0
2013-02-14,70,8,30,163,281,110,2,0
2013-02-21,66,29,13,183,221,147,6,0
2013-02-28,230,82,18,169,213,123,9,0
2013-03-07,491,9,13,176,128,102,11,0
2013-03-14,270,5,27,134,137,118,1,0
2013-03-21,25,29,19,202,136,106,8,0
2013-03-28,16,40,26,197,171,132,4,0
2013-04-04,9,5,14,110,94,66,1,0
2013-04-11,15,3,22,141,125,152,2,0
2013-04-18,17,15,17,145,169,136,3,0
2013-04-25,12,28,17,205,105,98,4,0
2013-05-02,10,1,21,164,80,87,1,0
2013-05-09,38,2,25,163,146,93,1,0
2013-05-16,18,1,25,157,153,121,3,0
2013-05-23,60,1,31,195,285,177,1,0
